Arrival,Dept.,Nights,Room,Total (Rs) (Inclusive of Tax)
13-03-2025,15-03-2025,2.0,218-Deluxe Room (Non-AC),2600.0
13-03-2025,15-03-2025,2.0,219-Deluxe Room (Non-AC),2600.0
05-03-2025,21-03-2025,16.0,314-Zen Room with Balcony,25994.88
05-03-2025,09-03-2025,4.0,215-Deluxe without Balcony,4000.0
05-03-2025,15-03-2025,10.0,101-Deluxe with Balcony,16000.0
08-03-2025,15-03-2025,7.0,102-Deluxe with Balcony,11200.0
07-03-2025,09-03-2025,2.0,214-Deluxe without Balcony,2400.0
05-03-2025,12-03-2025,7.0,308-Zen Room with Balcony,9100.0
06-03-2025,12-03-2025,6.0,103-Deluxe with Balcony,8400.0
15-03-2025,17-03-2025,2.0,301-Zen Room with Balcony,4400.0
15-03-2025,16-03-2025,1.0,205-Family Suite (3B),3240.0
12-03-2025,13-03-2025,1.0,106-Executive Suite with Balcony,2800.0
12-03-2025,13-03-2025,1.0,104-Deluxe with Balcony,2240.0
11-03-2025,13-03-2025,2.0,201-Deluxe with Balcony,4000.0
11-03-2025,13-03-2025,2.0,202-Deluxe with Balcony,4000.0
11-03-2025,13-03-2025,2.0,203-Deluxe with Balcony,4080.0
04-04-2025,06-04-2025,2.0,305-Zen Room with Balcony,5460.0
14-03-2025,15-03-2025,1.0,301-Zen Room with Balcony,2000.0
14-03-2025,15-03-2025,1.0,311-Zen Room with Balcony,2000.0
12-03-2025,17-04-2025,36.0,211-Deluxe without Balcony,62463.0
12-03-2025,15-03-2025,3.0,305-Zen Room with Balcony,5140.8
13-03-2025,16-03-2025,3.0,206-Executive Suite with Balcony,11700.6
13-03-2025,15-03-2025,2.0,307-Zen Room with Balcony,3808.0
13-03-2025,15-03-2025,2.0,308-Zen Room with Balcony,5308.0
13-03-2025,16-03-2025,3.0,202-Deluxe with Balcony,4233.6
13-03-2025,16-03-2025,3.0,201-Deluxe with Balcony,5712.0
13-03-2025,16-03-2025,3.0,212-Family Suite (4B),10500.0
12-03-2025,15-03-2025,3.0,103-Deluxe with Balcony,5140.66
12-03-2025,17-03-2025,5.0,216-Deluxe Room (Non-AC),5595.0
12-03-2025,13-03-2025,1.0,107-Executive Suite with Balcony,2794.0
15-03-2025,16-03-2025,1.0,107-Executive Suite with Balcony,2200.0
15-03-2025,16-03-2025,1.0,104-Deluxe with Balcony,2200.0
15-03-2025,17-03-2025,2.0,114-Family Suite (4B),9000.0
14-03-2025,15-03-2025,1.0,205-Family Suite (3B),3027.37
14-03-2025,15-03-2025,1.0,111-Deluxe without Balcony,1495.2
12-03-2025,13-03-2025,1.0,306-Zen Room with Balcony,2500.0
13-03-2025,14-03-2025,1.0,203-Deluxe with Balcony,2200.0
13-03-2025,14-03-2025,1.0,204-Deluxe with Balcony,2389.0
13-03-2025,17-03-2025,4.0,109-Deluxe without Balcony,6000.0
13-03-2025,14-03-2025,1.0,108-Deluxe without Balcony,1200.0
13-03-2025,15-03-2025,2.0,104-Deluxe with Balcony,4000.0
13-03-2025,14-03-2025,1.0,217-Deluxe Room (Non-AC),1568.0
15-03-2025,18-03-2025,3.0,102-Deluxe with Balcony,6300.0
15-03-2025,18-03-2025,3.0,101-Deluxe with Balcony,7224.0
31-05-2025,01-06-2025,1.0,216-Deluxe Room (Non-AC),1614.6
13-03-2025,14-03-2025,1.0,110-Deluxe without Balcony,2250.0
13-03-2025,14-03-2025,1.0,111-Deluxe without Balcony,1800.0
13-03-2025,16-03-2025,3.0,313-Zen Room with Balcony,7500.0
21-03-2025,27-03-2025,6.0,203-Deluxe with Balcony,15321.6
13-03-2025,14-03-2025,1.0,215-Deluxe without Balcony,1680.0
